LAT	LON	CODE	Synch_CHANGE	ColSD
41.37	-76.3	pa010	0.027187828	#C9ECF4
61.05	-146.98	ak096	0.027206997	#C9ECF4
51.92	6.17	neth023	0.027252565	#C9ECF4
62.98	31.3	finl001	0.027312877	#C9ECF4
39	-105	co045	0.027369246	#C9ECF4
48.05	-121.4	wa047	0.027372521	#C9ECF4
35.95	-92.1	ar012	0.027528309	#C9ECF4
-41.98	-71.25	arge010	0.027536936	#C9ECF4
49.4028	107.3062	mong038	0.027547133	#C9ECF4
46.59	6.66	swit296	0.027554488	#C9ECF4
65	-138.33	cana157	0.027586491	#C9ECF4
40.33	-5.13	spai034	0.027628684	#C9ECF4
44.17	5.25	fran9	0.027649842	#C9ECF4
41.8167	42.85	geor010	0.02765128	#C9ECF4
46.58	9.4	swit182	0.027685249	#C9ECF4
46.07	8.5	swit238	0.027752035	#C9ECF4
40	-121	ca685	0.027757711	#C9ECF4
36.53	-112.92	az030	0.027774603	#C9ECF4
38.88	-114.17	nv505	0.027786031	#C9ECF4
39.52	-121.43	ca618	0.027810815	#C9ECF4
44.45	-72.85	vt004	0.027817387	#C9ECF4
67.15	-149.13	ak050	0.02786862	#C9ECF4
39.23	28.78	turk039	0.027878759	#C9ECF4
47.25	7.83	swit143w	0.027892906	#C9ECF4
60.33	-134.8	cana2	0.027920695	#C9ECF4
33.68	-116.7	ca511	0.028004182	#C9ECF4
37.87	-121.95	ca623	0.028052075	#C9ECF4
42.6	2.05	fran023	0.028056901	#C9ECF4
69.28	125.33	russ059w	0.028072895	#C9ECF4
37.5	-118.22	ca533	0.028101468	#C9ECF4
60.47	-148.35	ak120	0.02810657	#C9ECF4
49.25	20.02	pola037	0.028125843	#C9ECF4
37.77	-119.8	ca591	0.028132202	#C9ECF4
40.09	-122.03	ca654	0.028158387	#C9ECF4
33.8	-109.32	az514	0.028162092	#C9ECF4
50.95	-115.2	cana413	0.028170684	#C9ECF4
37.92	-79.8	va017	0.028177594	#C9ECF4
67	27.12	finl011	0.028186394	#C9ECF4
49.25	20.03	pola025	0.028186637	#C9ECF4
35.53	-118.43	ca094	0.028195477	#C9ECF4
35.7	-94.32	ar015	0.028228896	#C9ECF4
38.84	-92.31	mo048	0.028282489	#C9ECF4
53.18	106.88	russ167w	0.028333799	#C9ECF4
46.35	-122.08	wa6	0.028393714	#C9ECF4
45.78	-117.92	or038	0.028394181	#C9ECF4
46.92	-121.73	wa040	0.028400177	#C9ECF4
29.32	82.02	nepa025	0.028415888	#C9ECF4
48.83	-97.67	nd003	0.028422423	#C9ECF4
40.48	-4.78	spai016	0.028473741	#C9ECF4
52.07	-116.39	cana331	0.02848609	#C9ECF4
45.42	-78.6	cana127	0.028531359	#C9ECF4
65.62	27.6	finl017	0.02854463	#C9ECF4
52.15	-117.08	cana357	0.028557237	#C9ECF4
41.87	-75.88	pa011	0.028583977	#C9ECF4
38.77	-104.97	co071	0.028592724	#C9ECF4
46.68	10.37	swit347	0.028607989	#C9ECF4
47.02	7.48	swit152w	0.028633955	#C9ECF4
52.13	-7.9	brit003	0.028650189	#C9ECF4
69.53	18.73	norw008	0.028654768	#C9ECF4
70.67	125.87	russ193	0.02867507	#C9ECF4
-24.6	-64.58	arge064	0.028693111	#C9ECF4
37.38	-76.93	va022	0.028730725	#C9ECF4
35.38	-111.53	az087	0.028734859	#C9ECF4
40.57	-109.95	ut501	0.028736457	#C9ECF4
66.27	30.8	russ016	0.028763191	#C9ECF4
45.22	6.68	fran011	0.02876878	#C9ECF4
53.95	-105.15	cana282	0.028781337	#C9ECF4
52.25	8.9	germ004	0.028796456	#C9ECF4
47.03	-122.58	wa018	0.028798819	#C9ECF4
44.17	5.25	fran8	0.028830573	#C9ECF4
41.78	14.03	ital016	0.028833532	#C9ECF4
45.1	-88.88	wi004	0.028856618	#C9ECF4
43.98	-97.17	sd014	0.028865834	#C9ECF4
48.72	-91.17	cana248	0.028873712	#C9ECF4
38.53	-107.32	co627	0.028874326	#C9ECF4
34.76	-84.3	ga012	0.028876647	#C9ECF4
45.32	-121.65	or043	0.028881429	#C9ECF4
46.35	8.6	swit230	0.028891889	#C9ECF4
55.82	160.17	russ213	0.028900526	#C9ECF4
52.12	9.2	germ006	0.028934569	#C9ECF4
47.32	7.22	swit164w	0.028949934	#C9ECF4
35.78	-106.28	nm501	0.028982371	#C9ECF4
51.17	-116.17	cana098	0.029006373	#C9ECF4
62.55	-113.85	cana291	0.02902721	#C9ECF4
-42.9	171.57	newz017	0.029029954	#C9ECF4
53.08	18.55	pola014	0.029078366	#C9ECF4
45.03	-70.32	me005	0.029095206	#C9ECF4
50.58	6.47	germ185	0.029108062	#C9ECF4
42.52	-106.73	wy014	0.029124479	#C9ECF4
54.9	-127.25	cana091	0.029165544	#C9ECF4
51.25	5.93	neth026	0.029184831	#C9ECF4
40.6644	-4.1636	spai068	0.029199534	#C9ECF4
37	34.5	turk035	0.029209727	#C9ECF4
57.6	-152.32	ak17	0.029214833	#C9ECF4
43.9	-103.6	sd017	0.029251187	#C9ECF4
33.97	-116.75	ca554	0.02926331	#C9ECF4
64.98	-127.57	cana123	0.029309858	#C9ECF4
30.4	-108.4	mexi031	0.029334128	#C9ECF4
52.92	-118.07	cana428	0.029336476	#C9ECF4
37.5	-90.5	mo005	0.029414953	#C9ECF4
-41.15	-71.8	arge106	0.029447584	#C9ECF4
52.93	-3.92	brit2	0.0294872	#C9ECF4
35.08	32.58	cypr010	0.029503176	#C9ECF4
60.35	154.12	russ149w	0.029531729	#C9ECF4
46.47	9.78	swit336	0.029545646	#C9ECF4
19.28	98.93	th001	0.029547167	#C9ECF4
-45.92	-71.75	arge023	0.029563353	#C9ECF4
41.65	-88.58	il001	0.02956946	#C9ECF4
37.47	97.24	chin050	0.029605848	#C9ECF4
53.23	-77.67	cana080	0.029651197	#C9ECF4
51.7	-1.22	brit061	0.029670985	#C9ECF4
38.53	-107.22	co620	0.029694623	#C9ECF4
40.42	-105.2	co037	0.029698768	#C9ECF4
40.57	-105.2	co039	0.029698768	#C9ECF4
46.48	9.88	swit219	0.029704916	#C9ECF4
-43	-72.5	chil017	0.029746211	#C9ECF4
50.25	10.25	germ16	0.029768336	#C9ECF4
60.7	51.38	russ075w	0.029795708	#C9ECF4
40.43	-4.78	spai017	0.029795708	#C9ECF4
46.3	7.83	swit121	0.029820377	#C9ECF4
36.68	98.42	chin064	0.029855874	#C9ECF4
40.17	72.58	kyrg004	0.029878152	#C9ECF4
51.2	-115.52	cana020	0.029883371	#C9ECF4
-33.78	-70.25	chil007	0.029884143	#C9ECF4
40.42	-105.47	co526	0.02988737	#C9ECF4
28.23	83.42	nepa016	0.029899965	#C9ECF4
39.85	-106.23	co604	0.029925461	#C9ECF4
45.88	-122.03	wa033	0.029962974	#C9ECF4
37.2	-91.2	mo051	0.029988582	#C9ECF4
48.3	-117.17	wa006	0.029992753	#C9ECF4
45.88	10.42	ital014	0.030001307	#C9ECF4
46.55	8.82	swit191	0.030009195	#C9ECF4
-44.77	168	newz033	0.03002352	#C9ECF4
36.62	-118.37	ca637	0.030055915	#C9ECF4
40.67	-0.33	spai020	0.030057234	#C9ECF4
67.13	-152.07	ak052	0.030062087	#C9ECF4
45.93	9.02	swit146w	0.030065453	#C9ECF4
46.3833	8.1	swit209	0.03009109	#C9ECF4
39.67	-106.72	co063	0.030134154	#C9ECF4
33.42	-109.37	az541	0.030155877	#C9ECF4
46.75	6	fran10	0.030175795	#C9ECF4
45.87	14.3	slov003	0.030201248	#C9ECF4
35.58	-98.38	ok013	0.030231329	#C9ECF4
52.02	-82.9	cana068	0.030231911	#C9ECF4
35.9	-107.63	nm053	0.030247208	#C9ECF4
62.07	14.33	swed013	0.030263862	#C9ECF4
-27.13	-65.85	arge042	0.030302059	#C9ECF4
67.92	-162.3	ak109	0.030310776	#C9ECF4
42.83	-3.17	spai052	0.030329361	#C9ECF4
36.67	29.92	turk005	0.030349609	#C9ECF4
40	-105.37	co573w	0.030359481	#C9ECF4
32.2	-110.55	az516	0.03035981	#C9ECF4
41.87	-110.8	wy026	0.030369282	#C9ECF4
-37.35	-71.5	chil011	0.030385606	#C9ECF4
34.12	-116.98	ca543	0.030426541	#C9ECF4
37.42	-118.17	ca508	0.030445299	#C9ECF4
-43.02	-71.57	arge085	0.030451153	#C9ECF4
35.73	138.22	japa016	0.030453022	#C9ECF4
40.88	-77.32	pa002	0.030478215	#C9ECF4
-43.02	-71.57	arge016	0.030525697	#C9ECF4
66.78	20.13	swed306	0.030548217	#C9ECF4
50.43	-93.1	cana259	0.030581747	#C9ECF4
37.18	-108.48	co509	0.030603343	#C9ECF4
40.37	-105.58	co598	0.030604901	#C9ECF4
34.8	-92.93	ar027	0.030621023	#C9ECF4
55.07	22.48	lith011	0.030663018	#C9ECF4
58.47	-134.02	ak13	0.030689298	#C9ECF4
65.32	64.65	russ180w	0.030722079	#C9ECF4
43.17	-120.88	or092	0.030733823	#C9ECF4
32.42	-110.77	az501	0.030752468	#C9ECF4
38.77	-78.45	va018	0.030762439	#C9ECF4
35.08	-83.18	nc005	0.030765337	#C9ECF4
29.35	82.05	nepa037	0.030788946	#C9ECF4
41.7167	43.5	geor003	0.030790452	#C9ECF4
62.03	-128.27	cana342	0.030799213	#C9ECF4
67.15	-150.08	ak049	0.030817944	#C9ECF4
44.1	11.7333	ital036	0.030818864	#C9ECF4
69.28	154.77	russ132w	0.030835364	#C9ECF4
46.63	12.1	ital023	0.030850424	#C9ECF4
68.25	80.18	russ027w	0.03085308	#C9ECF4
45.97	-117.68	or029	0.030859793	#C9ECF4
30.75	78.42	indi019	0.030861049	#C9ECF4
51.02	7.13	germ001	0.030861486	#C9ECF4
48.75	-120.63	wa078	0.03088229	#C9ECF4
47.2	-95.25	mn009	0.030887003	#C9ECF4
43.55	-73.8	ny008	0.030902251	#C9ECF4
70.05	146.45	russ188	0.030909297	#C9ECF4
44.27	-119.88	or005	0.030932594	#C9ECF4
-38.62	-71.6	chil024	0.030945098	#C9ECF4
49.73	-117.17	cana226	0.030978695	#C9ECF4
39.93	-105.27	co534	0.030981133	#C9ECF4
62.52	-113.82	cana292	0.031051969	#C9ECF4
65.8	137.25	russ146w	0.031057511	#C9ECF4
33.78	-107.62	nm048	0.031088015	#C9ECF4
46.46	9.18	swit332	0.031090981	#C9ECF4
50.37	-119.07	cana232	0.031104909	#C9ECF4
31.37	78.17	indi024	0.031121963	#C9ECF4
47.35	-120.55	wa059	0.031135378	#C9ECF4
61.95	-149.2	ak16	0.031138586	#C9ECF4
46.95	7.16	swit243	0.031156937	#C9ECF4
42.68	-0.57	spai004	0.031170999	#C9ECF4
16.6	100.82	th005	0.031259427	#C9ECF4
43.08	-110.07	wy002	0.031268848	#C9ECF4
27.58	99.35	chin037	0.031288976	#C9ECF4
58.67	-134.9	ak23	0.031289136	#C9ECF4
58.47	-134.02	ak24	0.031292485	#C9ECF4
47.1	90.97	mong019	0.031336592	#C9ECF4
-32.12	115.75	ausl008	0.031374667	#C9ECF4
39.45	-105.13	co030	0.031388056	#C9ECF4
-38.63	-71.6	chil021	0.031393103	#C9ECF4
38.33	-79.33	va015	0.031404407	#C9ECF4
34.17	-117.1	ca545	0.031404862	#C9ECF4
38.87	-105.43	co602	0.031406522	#C9ECF4
48.75	13	germ4	0.031430863	#C9ECF4
57.32	-93.03	cana280	0.031432467	#C9ECF4
-36.12	174.25	newz001	0.031454284	#C9ECF4
-41.17	-71.78	arge088	0.031475692	#C9ECF4
46.78	6.92	swit319	0.031490306	#C9ECF4
33.73	133.12	japa019	0.031496019	#C9ECF4
41.02	-0.12	spai015	0.031509229	#C9ECF4
58.34	-135.57	ak119	0.031522295	#C9ECF4
-43.05	171.6	newz024	0.031534885	#C9ECF4
48.65	-121.83	wa021	0.031543694	#C9ECF4
39.07	-104.43	co566	0.031574888	#C9ECF4
37.12	-91.5	mo002	0.031581612	#C9ECF4
56.6333	-3.35	brit021	0.031586189	#C9ECF4
44.15	-107.05	wy021	0.031605646	#C9ECF4
37.27	-91.27	mo001	0.031615025	#C9ECF4
36.57	-118.78	ca566	0.031631416	#C9ECF4
35.25	-107.5	nm571	0.031665287	#C9ECF4
46.67	-121.53	wa017	0.031668574	#C9ECF4
46	-69.33	me023	0.031674368	#C9ECF4
47.15	7.43	swit148w	0.031689823	#C9ECF4
49.23	20.08	pola026	0.031692782	#C9ECF4
-0.58	37.05	keny002	0.031702641	#C9ECF4
53.95	-106.33	cana222	0.031745739	#C9ECF4
37.83	-119.42	ca567	0.031748672	#C9ECF4
40.67	-77.7	pa001	0.031748921	#C9ECF4
60.45	14.73	swed305	0.03175786	#C9ECF4
54.5	58.83	russ004	0.031773004	#C9ECF4
46.73	-68.47	me027	0.031785791	#C9ECF4
52.05	-116.4	cana328	0.031787594	#C9ECF4
51.25	17.17	pola017	0.031795674	#C9ECF4
36.72	-118.88	ca092	0.031817731	#C9ECF4
-54.65	-67.87	arge043	0.03182126	#C9ECF4
35.85	-98.55	ok010	0.031864911	#C9ECF4
60.5	-146	ak112	0.03188163	#C9ECF4
51.05	-116.13	cana406	0.031937759	#C9ECF4
40.13	-105.42	co607	0.031951296	#C9ECF4
34.76	-84.3	ga011	0.031958983	#C9ECF4
39.85	-106.23	co646	0.03196958	#C9ECF4
66.33	18.45	swed007	0.03197221	#C9ECF4
55.37	23.88	lith024	0.03200121	#C9ECF4
60.08	-128.83	cana087	0.032033896	#C9ECF4
